subscription_id,product_name,start_month,monthly_fee
S000132,Playbox,202502,149
S000355,Playbox,202502,149
S000983,Mesh WiFi,202502,299
S000477,Playbox,202512,149
S000492,Mesh WiFi,202512,199
S000038,Mesh WiFi,202503,149
S000517,Mesh WiFi,202507,149
S000269,IP Camera,202508,199
S000597,Mesh WiFi,202505,149
S000682,IP Camera,202501,149
S000286,Mesh WiFi,202505,299
S000116,IP Camera,202508,99
S000920,IP Camera,202502,149
S000942,Playbox,202504,99
S000623,IP Camera,202508,299
S000728,IP Camera,202510,149
S000470,Playbox,202509,149
S000883,IP Camera,202504,149
S000972,Playbox,202501,99
S000967,Playbox,202509,99
S000533,Mesh WiFi,202509,99
S000452,Mesh WiFi,202505,199
S000843,IP Camera,202503,149
S000472,Playbox,202507,299
S000943,Playbox,202503,149
S000534,IP Camera,202511,99
S000957,IP Camera,202503,299
S000170,Playbox,202507,99
S000105,IP Camera,202506,299
S000283,Playbox,202511,199
S000997,Mesh WiFi,202501,99
S000055,Playbox,202501,99
S000276,IP Camera,202501,99
S000605,Mesh WiFi,202503,99
S000684,Playbox,202512,149
S000004,Mesh WiFi,202502,299
S000857,IP Camera,202511,199
S000278,Playbox,202511,99
S000026,IP Camera,202503,199
S000147,Mesh WiFi,202507,99
S000811,IP Camera,202511,199
S000570,Mesh WiFi,202505,149
S000553,Playbox,202509,149
S000568,IP Camera,202511,299
S000868,Mesh WiFi,202508,99
S000619,Playbox,202503,199
S000686,IP Camera,202510,99
S000747,Mesh WiFi,202507,299
S000953,Playbox,202509,299
S000960,Mesh WiFi,202501,99
S000875,IP Camera,202501,99
S000600,IP Camera,202505,149
S000976,Mesh WiFi,202506,199
S000741,Playbox,202506,199
S000753,IP Camera,202503,299
S000363,Mesh WiFi,202510,99
S000523,Playbox,202507,149
S000937,Mesh WiFi,202509,149
S000729,Mesh WiFi,202506,99
S000399,Mesh WiFi,202505,149
S000574,IP Camera,202507,99
S000825,IP Camera,202512,99
S000751,IP Camera,202508,99
S000514,Mesh WiFi,202504,149
S000497,Mesh WiFi,202510,299
S000829,IP Camera,202506,99
S000266,IP Camera,202511,149
S000094,Playbox,202502,99
S000265,Mesh WiFi,202501,99
S000110,Mesh WiFi,202505,99
S000043,IP Camera,202509,99
S000415,Mesh WiFi,202511,199
S000607,IP Camera,202503,299
S000710,Mesh WiFi,202504,149
S000083,Mesh WiFi,202512,149
S000644,IP Camera,202511,99
S000485,Mesh WiFi,202505,149
S000877,Playbox,202511,99
S000133,Playbox,202512,299
S000614,IP Camera,202511,199
S000806,IP Camera,202503,199
S000356,Mesh WiFi,202505,149
S000649,Playbox,202504,299
S000288,IP Camera,202503,199
S000503,IP Camera,202512,299
S000545,Playbox,202502,199
S000203,Mesh WiFi,202502,299
S000259,Playbox,202507,199
S000556,IP Camera,202507,149
S000350,Mesh WiFi,202506,199
S000352,Playbox,202503,299
S000722,Playbox,202512,199
S000423,Mesh WiFi,202509,149
S000932,Mesh WiFi,202504,99
S000250,IP Camera,202502,299
S000529,Mesh WiFi,202505,299
S000321,Mesh WiFi,202505,99
S000744,Playbox,202512,99
S000271,Mesh WiFi,202504,149
S000198,Mesh WiFi,202506,149
S000007,Mesh WiFi,202510,99
S000106,IP Camera,202512,199
S000024,Playbox,202505,99
S000996,Mesh WiFi,202504,149
S000821,Playbox,202504,199
S000126,Playbox,202509,199
S000443,IP Camera,202506,99
S000262,Mesh WiFi,202512,149
S000852,Playbox,202502,99
S000227,Playbox,202512,299
S000345,IP Camera,202508,99
S000917,IP Camera,202501,149
S000666,Playbox,202510,99
S000293,IP Camera,202511,149
S000824,Mesh WiFi,202504,149
S000685,Mesh WiFi,202511,199
S000180,Playbox,202501,299
S000006,Playbox,202512,99
S000827,Playbox,202510,299
S000733,Mesh WiFi,202507,99
S000624,Mesh WiFi,202509,299
S000353,IP Camera,202512,99
S000713,Playbox,202503,149
S000518,Playbox,202501,99
S000651,Mesh WiFi,202507,99
S000100,IP Camera,202503,99
S000374,Playbox,202512,299
S001000,Mesh WiFi,202508,299
S000750,Mesh WiFi,202512,199
S000408,IP Camera,202502,299
S000782,Playbox,202510,149
S000072,Mesh WiFi,202506,199
S000599,Playbox,202501,99
S000034,Mesh WiFi,202510,99
S000537,Playbox,202509,199
S000941,Playbox,202509,199
S000224,Playbox,202504,299
S000765,IP Camera,202508,199
S000923,Playbox,202510,149
S000071,Mesh WiFi,202504,149
S000144,IP Camera,202503,149
S000774,IP Camera,202510,149
S000535,Playbox,202504,299
S000403,Mesh WiFi,202506,199
S000062,Mesh WiFi,202502,99
S000952,Mesh WiFi,202501,199
S000594,Playbox,202509,299
S000238,IP Camera,202501,199
S000369,IP Camera,202501,199
S000082,Playbox,202508,299
S000906,Mesh WiFi,202507,99
S000896,IP Camera,202512,99
S000700,Playbox,202512,149
S000557,Mesh WiFi,202501,99
S000425,Playbox,202501,149
S000712,Mesh WiFi,202507,299
S000543,IP Camera,202502,99
S000548,Mesh WiFi,202503,299
S000469,Playbox,202506,149
S000516,Playbox,202503,149
S000719,Mesh WiFi,202506,199
S000629,Playbox,202507,149
S000511,Mesh WiFi,202510,99
S000455,Mesh WiFi,202511,299
S000724,Mesh WiFi,202509,149
S000206,IP Camera,202504,199
S000383,Mesh WiFi,202512,99
S000585,Playbox,202504,199
S000156,IP Camera,202501,299
S000155,Playbox,202506,199
S000716,Playbox,202508,149
S000903,Mesh WiFi,202501,149
S000975,Playbox,202511,199
S000695,IP Camera,202512,99
S000078,Playbox,202502,199
S000738,Mesh WiFi,202512,99
S000434,IP Camera,202501,199
S000457,IP Camera,202510,99
S000974,Mesh WiFi,202505,149
S000143,Playbox,202512,299
S000436,Mesh WiFi,202510,149
S000160,Mesh WiFi,202510,299
S000876,IP Camera,202510,299
S000302,IP Camera,202505,299
S000993,Playbox,202509,199
S000245,Playbox,202509,199
S000828,IP Camera,202507,149
S000136,Playbox,202506,99
S000422,Mesh WiFi,202501,199
S000202,IP Camera,202510,149
S000526,Playbox,202504,99
S000622,Playbox,202504,199
S000368,Playbox,202507,299
S000101,IP Camera,202509,99
S000561,Mesh WiFi,202510,99
S000820,IP Camera,202508,149
S000001,Mesh WiFi,202511,99
S000711,Mesh WiFi,202507,99
S000890,IP Camera,202508,149
S000159,IP Camera,202504,199
S000902,IP Camera,202512,149
S000804,IP Camera,202510,149
S000856,Mesh WiFi,202511,199
S000393,IP Camera,202504,149
S000882,IP Camera,202509,99
S000509,Mesh WiFi,202501,199
S000204,Mesh WiFi,202511,99
S000905,Playbox,202512,299
S000464,Mesh WiFi,202501,149
S000496,Mesh WiFi,202510,199
S000778,IP Camera,202511,149
S000709,Mesh WiFi,202511,199
S000318,Playbox,202509,299
S000978,IP Camera,202507,199
S000216,Mesh WiFi,202511,99
S000099,Playbox,202501,299
S000114,Mesh WiFi,202502,149
S000590,Playbox,202509,199
S000507,IP Camera,202506,99
S000175,Mesh WiFi,202504,199
S000333,Mesh WiFi,202509,149
S000439,Playbox,202510,199
S000560,IP Camera,202505,99
S000552,Playbox,202503,299
S000761,Playbox,202501,99
S000020,IP Camera,202509,299
S000859,IP Camera,202507,299
S000315,Playbox,202501,99
S000112,Mesh WiFi,202509,149
S000272,Playbox,202502,149
S000513,IP Camera,202506,99
S000394,Playbox,202502,299
S000414,IP Camera,202501,199
S000309,Playbox,202505,99
S000696,IP Camera,202506,99
S000648,Mesh WiFi,202507,149
S000017,IP Camera,202509,149
S000317,IP Camera,202508,299
S000237,IP Camera,202503,99
S000125,IP Camera,202506,149
S000103,IP Camera,202505,199
S000791,Playbox,202508,299
S000504,Mesh WiFi,202510,199
S000010,Mesh WiFi,202503,99
S000104,IP Camera,202508,149
S000595,IP Camera,202507,299
S000236,IP Camera,202503,149
S000830,Mesh WiFi,202501,99
S000938,IP Camera,202508,299
S000966,Mesh WiFi,202501,149
S000512,IP Camera,202512,99
S000387,Mesh WiFi,202501,299
S000770,IP Camera,202511,199
S000617,Playbox,202504,149
S000031,Playbox,202508,149
S000207,Playbox,202503,199
S000862,Mesh WiFi,202512,149
S000530,Playbox,202506,299
S000919,Playbox,202508,99
S000591,Mesh WiFi,202501,149
S000646,Playbox,202511,99
S000564,Playbox,202510,149
S000575,Playbox,202507,99
S000734,Playbox,202507,149
S000069,IP Camera,202511,199
S000572,Playbox,202508,299
S000579,IP Camera,202510,199
S000095,Mesh WiFi,202502,149
S000717,Playbox,202508,99
S000613,IP Camera,202509,199
S000308,Mesh WiFi,202505,99
S000256,IP Camera,202503,199
S000894,Playbox,202503,299
S000527,Mesh WiFi,202509,99
S000221,Playbox,202507,199
S000273,Mesh WiFi,202501,149
S000474,Mesh WiFi,202504,199
S000466,Playbox,202507,299
S000122,IP Camera,202502,149
S000488,Mesh WiFi,202512,299
S000188,IP Camera,202509,149
S000346,Playbox,202502,99
S000683,Playbox,202511,99
S000138,Mesh WiFi,202510,149
S000955,Playbox,202511,149
S000479,Mesh WiFi,202509,299
S000939,Playbox,202510,199
S000233,IP Camera,202508,299
S000984,Playbox,202507,149
S000127,IP Camera,202504,99
S000432,IP Camera,202503,199
S000359,Mesh WiFi,202501,199
S000977,Playbox,202510,299
S000429,IP Camera,202501,299
S000869,IP Camera,202510,299
S000559,Mesh WiFi,202511,99
S000032,Mesh WiFi,202508,99
S000117,Mesh WiFi,202508,149
S000468,Mesh WiFi,202509,149
S000098,Playbox,202506,99
